Title,Texte de l'article,Date mise à jour
"A Carnival day in Brazil, from a morning street party to an evening samba parade","LONDON (AP) — Before there was John and Yoko — and after — there was just Yoko Ono.
The Japanese-American artist became a global celebrity through her marriage to John Lennon, her partner for more than a decade until his murder in 1980, as well as her collaborator on peace-protest “bed-ins” and in the Plastic Ono Band.
Yet that period forms just a small part of an exhibition opening this week at the Tate Modern gallery in London. One of the largest shows of Ono’s work ever mounted, it includes seven decades of work by the artist, who turns 91 on Sunday.","Updated 5:03 PM GMT+1, February 13, 2024"
Whereabouts of Venezuelan human rights attorney and her family remain unknown days after detentions,"PHILADELPHIA (AP) — The muted sounds of hammering and sanding drift down to the first floor of Bario Neal, a jewelry store in Philadelphia, where rustic artwork that mimics nature hangs on warmly-lit walls.
Waiting for one of those rings is Haley Farlow, a 28-year-old second grade teacher who has been designing her three-stone engagement ring with her boyfriend. They care about price and also don’t want jewelry that takes a toll on the Earth, or exploits people in mining. So they’re planning on buying diamonds grown in a laboratory.
“Most of my friends all have lab-grown. And I think it just fits our lifestyle and, you know, the economy and what we’re living through,” said Farlow.","Updated 3:48 PM GMT+1, February 13, 2024"
US Virgin Islands pushes forward on stalled law allowing recreational marijuana use,"LONDON (AP) — The Body Shop, the British beauty and cosmetics retail chain, said on Tuesday that it has appointed insolvency administrators after years of financial struggles.
The retailer, which grew from a single shop in 1976 to become one of the most recognizable retailers on the British high street with hundreds of stores in the United Kingdom and beyond, is known as an early champion of ethical practices in business.
FRP, the administrators hired by The Body Shop, said it will “now consider all options to find a way forward for the business.”","Updated 4:04 PM GMT+1, February 13, 2024"
"An offshore oil spill has caused a ‘national emergency,’ Trinidad and Tobago prime minister says","TOKYO (AP) — A panel of safety experts on Tuesday urged the operator of the tsunami-wrecked Fukushima Daiichi nuclear power plant in Japan to communicate more quickly with the public over incidents such as last week’s leak of contaminated water.
Thirteen years after the Fukushima disaster in which the plant suffered triple meltdowns following the 2011 earthquake, safety culture at the Tokyo Electric Power Company Holdings company has improved but there is still work to do, said Dale Klein, a former U.S. Nuclear Regulatory Commission chairperson who now serves as an advisor to TEPCO’s reform committee.
The panel’s news briefing on its periodic assessment came a week after highly radioactive water leaked from a treatment machine during maintenance work at the Fukushima Daiichi plant. TEPCO said no one was injured, and radiation monitoring shows no leakage escaped the compound.","Updated 4:11 PM GMT+1, February 13, 2024"
OpenAI CEO warns that ‘societal misalignments’ could make artificial intelligence dangerous,"BANGKOK (AP) — Two Thai journalists arrested for reporting on the vandalism of Bangkok temple wall with graffiti criticizing a pro-monarchy law were released on bail Tuesday, a lawyer’s group said.
The arrests, carried out separately on Monday, nearly a year after the incident, drew widespread criticism and raised concerns from several right groups over the state of media freedom in Thailand.
The Royal Palace police station, which made the arrests, said Nutthaphol Meksobhon, a reporter for the independent online media Prachatai, and Natthapon Phanphongsanon, a freelance photographer, were charged with collaborating in vandalizing an historical site. Nutthaphol wrote a story and Natthapon took a video of the incident, which was widely reported.","Updated 3:21 PM GMT+1, February 13, 2024"
Timeline of the Israeli raid in Gaza that rescued two hostages and killed dozens of Palestinians,"WARSAW, Poland (AP) — An LGBTQ rights activist in Poland said Tuesday that he believes it’s a “new beginning” in Poland after a host on state television apologized on air for the homophobic propaganda aired by state media in recent years.
“It took me by surprise,” said Bart Staszewski, one of two activists invited on air Sunday evening when the state TVP host apologized to them for the rhetoric directed at their community for years.
Staszewski, who had been personally targeted by the previous government, added: “I didn’t realize how much I needed” to hear the apology.","Updated 3:14 PM GMT+1, February 13, 2024"
Egypt is threatening to void its decades-old peace treaty with Israel. What does that mean?,"ISTANBUL (AP) — A huge landslide hit a gold mine in eastern Turkey on Tuesday, trapping at least nine workers underground, officials said.
The landslide at the Copler mine happened at 2:30 p.m. near the town of Ilic in Turkey’s mountainous Erzincan province. Footage seemingly shot by a nearby worker showed a massive wave of earth rushing down a gully, engulfing everything in its path.
Nine workers had not been heard from since the landslide struck and “it is thought that they are buried under the ground,” Interior Minister Ali Yerlikaya said.","Updated 6:39 PM GMT+1, February 13, 2024"
A rights group says Senegal’s security forces have killed at least 3 people during protests,"YEREVAN, Armenia (AP) — Armenia and Azerbaijan on Tuesday traded accusations over a border skirmish that left at least four Armenian soldiers dead and escalated tensions between the two Caucasus neighbors.
Armenia’s Foreign Ministry denounced what it described as a “provocation” by Azerbaijani troops who fired on Armenian forces across the border in the eastern Syunik region early Tuesday. Four Armenian soldiers were killed and one was wounded, the ministry said. It urged Azerbaijan to refrain from “destabilizing” actions.
Azerbaijan’s State Border Service said it had fired on an Armenian post in retaliation for Armenian shelling of Azerbaijani positions that wounded one Azerbaijani service member the previous day.","Updated 2:42 PM GMT+1, February 13, 2024"
"UK plan to send asylum-seekers to Rwanda incompatible with human rights, parliamentary watchdog says","WASHINGTON (AP) — The Senate early Tuesday passed an emergency spending package that would provide military aid to Ukraine and Israel; replenish U.S. weapons systems; and provide food, water, and other humanitarian aid to civilians in Gaza.
The Senate jettisoned from the package a bipartisan effort to boost immigration enforcement at the U.S.-Mexico border after most Republican senators, following the lead of former President Donald Trump, deemed the bipartisan proposal inadequate. Abandoning the border proposal brought the price tag of the bill down to about $95.3 billion.
Now that the Senate has approved the emergency spending package, it is up to the Republican-led House to take it up, change it or let it die. Speaker Mike Johnson cast new doubt on the package in a statement Monday evening, making clear that it could be weeks or months before Congress sends the legislation to President Joe Biden’s desk — if at all.","Updated 2:39 PM GMT+1, February 13, 2024"
Kelvin Kiptum’s family says marathon record holder’s death shattered their hopes and dreams,"BERLIN (AP) — Germany’s top security official said Tuesday that she aims to make it easier to trace right-wing extremists’ financing and plans to set up an “early recognition unit” to detect far-right and foreign disinformation campaigns as early as possible.
Interior Minister Nancy Faeser’s proposals follow large protests against the far right in Germany in recent weeks. They reflect growing concern after a report said extremists met to discuss deporting millions of immigrants, including some with German citizenship, and that some members of the far-right Alternative for Germany party, whose support has doubled since the country’s 2021 election, were present.
Germany’s domestic intelligence agency says the number of far-right extremists has been rising. In 2022, it reached 38,800, with 14,000 of them considered potentially violent. The agency’s head, Thomas Haldenwang, said the numbers are believed to have risen again last year.","Updated 1:41 PM GMT+1, February 13, 2024"
"Marathon world record-holder Kelvin Kiptum, who was set to be a superstar, has died in a car crash","TOKYO (AP) — Japan’s space agency on Tuesday postponed the launch of a second test flight of its new flagship rocket H3 series planned for this week because of bad weather forecast at the launch site. The delay comes as Japanese space officials scramble to ensure a successful liftoff, a year after the rocket’s failed debut flight.
Thunder and strong wind were predicted at the launch site on the Tanegashima Space Center in southern Japan, according to Masashi Okada, H3 project manager at Japan Aerospace Exploration Agency, or JAXA. The launch was initially planned for Thursday.
The agency will decide a new launch date as early as Wednesday, he said.","Updated 12:19 PM GMT+1, February 13, 2024"
Nigeria mourns as authorities investigate helicopter crash that killed a major bank CEO,"Nearly two-thirds of American Jews feel less secure in the U.S. than they did a year ago, according to a new national survey.
The American Jewish Committee, a prominent advocacy organization, conducted the survey last fall just as the Israel-Hamas war began on Oct. 7. The number of American Jews who say they feel less secure in the U.S. jumped 22% from last year’s survey.
“This year’s study shows us very clearly that antisemitism that was really just a simmering flame is now, especially since Oct. 7, a five-alarm fire,” Ted Deutch, CEO of AJC, told The Associated Press.","Updated 12:01 PM GMT+1, February 13, 2024"
"Senate passes a $95.3 billion aid package for Ukraine and Israel, but fate in the House is uncertain","LONDON (AP) — The world has entered an era of increasing instability as countries around the globe boost military spending in response to Russia’s invasion of Ukraine, the Hamas attack on Israel and China’s growing assertiveness in the South China Sea.
That’s the conclusion of a new report released Tuesday by the International Institute for Strategic Studies, which also highlighted rising tensions in the Arctic, North Korea’s pursuit of nuclear weapons and the rise of military regimes in the Sahel region of Africa as contributing to a “deteriorating security environment.” The London-based think tank has compiled its annual estimate of the global military situation for 65 years.
“The current military-security situation heralds what is likely to be a more dangerous decade, characterized by the brazen application by some of military power to pursue claims — evoking a ‘might is right’ approach — as well as the desire among like-minded democracies for stronger bilateral and multilateral defense ties in response,’’ the report said.","Updated 4:42 PM GMT+1, February 13, 2024"
"Shooter entered Texas megachurch with young son and used AR-style rifle in the attack, police say","STOCKHOLM (AP) — Firefighters in Sweden were struggling for the second day on Tuesday to put out a blaze at a water park that’s under construction at one of the country’s biggest amusement centers. One park employee is missing and 16 people, mainly workers, were slightly injured.
Authorities could not say what had caused the fire at the Oceana water park in the popular Liseberg amusement complex in Goteborg, Sweden’s second-largest city. The fire broke out on Monday and spread over several water slides and the pool area.
Svante Carlsson of the city’s fire department said his firefighters have gotten the fire under control on Tuesday. There was “extensive damage and some parts of the structure have collapsed,” he said, adding that he expects his crews “to be on the scene for some time.”","Updated 10:05 AM GMT+1, February 13, 2024"
A shooter opened fire at one of the largest megachurches in the US. A motive isn’t known yet,"BEIJING (AP) — Don’t feed the pandas. That’s the rule seemingly broken by a man who was banned for life from one of China’s main panda centers after throwing unspecified “objects” into an enclosure on Monday.
A notice from the Chengdu Research Base of Giant Panda Breeding didn’t identify the objects, but said that feeding pandas may cause them harm, and that the panda appeared to be in normal condition. It identified the visitor as a 53-year-old man with the family name Gao.
“In view of Gao’s uncivilized visit and his behavior that may cause harm to giant pandas, he is prohibited from entering the panda base ... for life,” the notice said.","Updated 12:06 PM GMT+1, February 13, 2024"
"Shooting puts new spotlight on Joel Osteen, one of the most familiar faces in American religion","TOKYO (AP) — Japanese automaker Daihatsu on Tuesday named a veteran at its parent company Toyota to replace its president as it tries to repair the damage from a scandal over cheating on vehicle safety tests.
The troubles at Daihatsu Motor Co. surfaced after a whistleblower reported the cheating. A third-party review found violations, such as carrying out tests on just one side of a car when both sides had to be tested, that had persisted for decades.
The appointments of a new president, executive vice president and director highlight Toyota’s determination to play a leading role in the reforms at its 100% owned subsidiary.","Updated 9:40 AM GMT+1, February 13, 2024"
"Winter storm hits Northeast, causing difficult driving, closed schools and canceled flights","BANGKOK (AP) — Thailand’s former Prime Minister Thaksin Shinawatra, who last year returned from more than a decade of self-imposed exile to serve a prison sentence for misdeeds committed while in office, has been granted parole and could be released this weekend, the country’s justice minister announced Tuesday.
Parole for Thaksin would be a symbol of reconciliation between his populist political party and the country’s conservative establishment, a rivalry that defined Thai politics for nearly 20 years and led to two military coups.
Justice Minister Tawee Sodsong told reporters ahead of the weekly Cabinet meeting in Bangkok that Thaksin qualified for early release because he is in the eligible category of inmates who have serious illnesses, are disabled or are aged over 70. Thaksin is 74 years old.","Updated 9:21 AM GMT+1, February 13, 2024"
Family of Palestinian-American detained by Israel seeks her release. ‘I want my mother back’,"MELBOURNE, Australia (AP) — The Australian government said on Tuesday it will outlaw doxxing — the malicious release online of personal or identifying information without the subject’s permission — after pro-Palestinian activists published personal details of hundreds of Jewish people in Australia.
Attorney-General Mark Dreyfus said the proposed laws, which have yet to be drafted, would involve issuing take-down notices to social media platforms and imposing fines for the intimidation tactic.
The government was responding to Nine Entertainment news reports last week that pro-Palestinian activists had published the names, images, professions and social media accounts of Jewish people working in academia and the creative industries.","Updated 7:38 AM GMT+1, February 13, 2024"
"Election ballots and boxes carried across Indonesia by motorcycle, boat, horse and on foot","BANGKOK (AP) — Two years after Thailand made pot legal, the country appears set to crack down on its freewheeling drug market with a ban on “recreational” use.
Legal cannabis has fueled Thailand’s tourism and farming trades and spawned thousands of neon green shops, but it’s facing public backlash over perceptions that under-regulation has made the drug available to kids and caused crime.
The Health Minister Chonlanan Srikaew said last week that he had recommended a draft bill to the Cabinet that would ban recreational cannabis use while allowing medical. The Cabinet is expected to approve sending that Parliament soon, but has not yet taken it up as of its most recent meeting on Tuesday.","Updated 12:39 PM GMT+1, February 13, 2024"
Officials say 2 boats collide on Congo River but give conflicting accounts on deaths,"NEW YORK (AP) — U.S. stocks are falling Tuesday after worse-than-expected inflation data forced investors to question hopes that have sent Wall Street to record heights.
The S&P 500 was 1.5% lower in afternoon trading as traders delayed their forecasts for when the Federal Reserve will deliver the cuts to interest rates they crave so much. The hotter-than-expected inflation report may have put the final nail into hopes that the first cut could arrive in March. It also pushed many forecasts past May into June, according to data from CME Group.
The Dow Jones Industrial Average fell 593 points, or 1.5%, from its record set a day earlier. The Nasdaq composite, which has been flirting with its all-time high set in 2021, was down 1.8%, as of 1:51 p.m. Eastern time.","Updated 8:01 PM GMT+1, February 13, 2024"
Poland’s prime minister says authorities widely used spyware under the previous government,"ATLANTA (AP) — Family, friends and military colleagues are gathering in Georgia as funerals begin for three Army Reserve soldiers killed last month in a drone attack on a U.S. base in Jordan.
The first funeral service was scheduled Tuesday morning for Staff Sgt. William Jerome Rivers at a Baptist church in Carrollton, west of Atlanta.
The 46-year-old reservist and Pennsylvania native, who is survived by his wife and son in Georgia, served in uniform for more than a decade after enlisting as an electrician. The Army said his overseas deployments included a nine-month tour in Iraq in 2018. His obituary from a local funeral home called him a warm-hearted family man with a “gentle demeanor and a fierce and determined personality.”","Updated 6:05 AM GMT+1, February 13, 2024"
Displaced Palestinians leave one of Gaza’s main hospitals after weeks of being isolated by fighting,"RAFAH, Gaza Strip (AP) — Palestinians have begun evacuating the main hospital in the southern Gaza town of Khan Younis, according to videos shared by medics on Wednesday. Weeks of heavy fighting had isolated the medical facility and claimed the lives of several people inside it.
The war between Israel and Hamas, now in its fifth month, has devastated Gaza’s health sector, with less than half of its hospitals even partially functioning as scores of people are killed and wounded in daily bombardments. Israel accuses the militants of using hospitals and other civilian buildings as cover.
Khan Younis is the main target of a rolling ground offensive that Israel has said will soon be expanded to Gaza’ southernmost city of Rafah. Some 1.4 million people — over half the territory’s population — are crammed into tent camps and overflowing apartments and shelters in the town on the Egyptian border.","Updated 4:43 PM GMT+1, February 14, 2024"
Indonesian defense chief linked to past rights abuses claims victory in presidential election,"JAKARTA, Indonesia (AP) — Defense Minister Prabowo Subianto, an ex-general linked to past human rights atrocities, claimed victory in Indonesia’s presidential election on Wednesday based on unofficial tallies.
The 72-year-old candidate, who was once banned by the United States from entering for two decades due to his human rights record, told thousands of supporters in a sports stadium in the capital, Jakarta, that the victory, according to an early, unofficial “quick count,” was “the victory of all Indonesians.”
There was no declaration by electoral officials and the two former provincial governors who also contested the election in the world’s third-largest democracy have not conceded defeat.","Updated 3:34 PM GMT+1, February 14, 2024"
Ukrainian military says it sank a Russian landing ship in the Black Sea,"KYIV, Ukraine (AP) — Ukraine’s military said Wednesday it used high-tech naval drones to sink a Russian landing ship in the Black Sea, a report that has not been confirmed by Russian authorities.
The Caesar Kunikov amphibious ship sank 4 kilometers (2.5 miles) off Alupka, a city on the southern edge of the Crimean Peninsula that Moscow annexed in 2014, Ukraine’s General Staff said. It said the ship can carry 87 crew members. The ship was also transporting ammunition, a Ukrainian official said.
Sinking the vessel would be another embarrassing blow for the Russian Black Sea fleet and a significant success for Ukraine 10 days before the second anniversary of Russia’s full-scale invasion on Feb. 24, 2022.","Updated 4:09 PM GMT+1, February 14, 2024"
"By detecting Russian ‘carrots’ and ‘tea bags,’ Ukraine decodes enemy chatter to save lives","SEREBRYANSKY FOREST, Ukraine (AP) — As the radio crackles with enemy communications that are hard to decipher, one Russian command rings out clear: “Brew five Chinese tea bags on 38 orange.”
A Ukrainian soldier known on the battlefield as Mikhass, who has spent months listening to and analyzing such chatter, is able to quickly decode the gibberish. It means: Prepare five Beijing-made artillery shells and fire them on a specific Ukrainian position in the Serebryansky Forest, which forms the front line in the country’s restive northeast.
Hiding in the basement of an abandoned home 12 kilometers (7 miles) away, Mikhass immediately warns the commander of a unit embedded in that part of the forest, giving him crucial minutes to get his men into trenches, saving their lives.","Updated 1:32 PM GMT+1, February 14, 2024"
